model,split,accuracy,macro_f1
standard_bow,phrasebank_validation,0.756701030927835,0.7072279986002585
standard_bow,phrasebank_test,0.7525773195876289,0.7064346908688591
standard_bow,fiqa_test,0.23504273504273504,0.24561559338761416
lm_restricted_bow,phrasebank_validation,0.6515463917525773,0.4732680190817197
lm_restricted_bow,phrasebank_test,0.6288659793814433,0.46326411040723947
lm_restricted_bow,fiqa_test,0.14957264957264957,0.1600318590145343
gru,phrasebank_validation,0.7484536082474227,0.6915530242156409
gru,phrasebank_test,0.7030927835051546,0.6459400270735735
gru,fiqa_test,0.13675213675213677,0.14554052661153835
raw_finbert,phrasebank_validation,0.8804123711340206,0.8687302871222707
raw_finbert,phrasebank_test,0.8639175257731959,0.8578766584216501
raw_finbert,fiqa_test,0.5085470085470085,0.48051450465243567
finbert_finetuned,phrasebank_validation,0.8907216494845361,0.883134025315781
finbert_finetuned,phrasebank_test,0.8742268041237113,0.8634762083817469
finbert_finetuned,fiqa_test,0.4358974358974359,0.43557953847503733
