model,split,accuracy,macro_f1
standard_bow,nosible_validation,0.7595,0.7599962626970292
standard_bow,nosible_test,0.7548,0.7555917084344653
standard_bow,phrasebank_test,0.6989690721649484,0.662014673418079
standard_bow,fiqa_test,0.36752136752136755,0.36409342291695235
lm_restricted_bow,nosible_validation,0.6499,0.6566288985099074
lm_restricted_bow,nosible_test,0.6472,0.6546094758812221
lm_restricted_bow,phrasebank_test,0.6350515463917525,0.49034770742288264
lm_restricted_bow,fiqa_test,0.24786324786324787,0.2771276595744681
gru,nosible_validation,0.7013,0.7028528245530131
gru,nosible_test,0.7027,0.7041916741555138
gru,phrasebank_test,0.6701030927835051,0.6176088200527879
gru,fiqa_test,0.3888888888888889,0.3779331779331779
